Date,Home Team,Score,Away Team,Status,League
2020-10-24,Phoenix Rising FC,1 - 1 - Phoenix Rising FC wins 4-2 on Penalty Kicks,El Paso Locomotive FC,FT-Pens,USL Championship
2020-10-17,Reno 1868 FC,2 - 2 - Phoenix Rising FC wins 5-4 on Penalty Kicks,Phoenix Rising FC,FT-Pens,USL Championship
2020-10-10,Phoenix Rising FC,1 - 0,Sacramento Republic FC,AET,USL Championship
2020-10-03,Phoenix Rising FC,4 - 1,LA Galaxy II,FT,USL Championship
2020-09-30,San Diego Loyal SC,0 - 3,Phoenix Rising FC,FT,USL Championship
2020-09-26,Phoenix Rising FC,1 - 0,Orange County SC,FT,USL Championship
2020-09-19,Phoenix Rising FC,2 - 3,San Diego Loyal SC,FT,USL Championship
2020-09-11,Phoenix Rising FC,5 - 1,Las Vegas Lights FC,FT,USL Championship
2020-09-05,Las Vegas Lights FC,0 - 2,Phoenix Rising FC,FT,USL Championship
2020-08-29,Reno 1868 FC,2 - 1,Phoenix Rising FC,FT,USL Championship
2020-08-22,Las Vegas Lights FC,3 - 3,Phoenix Rising FC,FT,USL Championship
2020-08-19,LA Galaxy II,1 - 4,Phoenix Rising FC,FT,USL Championship
2020-08-15,Phoenix Rising FC,2 - 0,San Diego Loyal SC,FT,USL Championship
2020-08-08,Phoenix Rising FC,5 - 2,New Mexico United,FT,USL Championship
2020-08-01,Phoenix Rising FC,3 - 1,El Paso Locomotive FC,FT,USL Championship
2020-07-25,Orange County SC,1 - 0,Phoenix Rising FC,FT,USL Championship
2020-07-16,Orange County SC,1 - 1,Phoenix Rising FC,FT,USL Championship
2020-07-11,Phoenix Rising FC,4 - 0,LA Galaxy II,FT,USL Championship
2020-03-07,Phoenix Rising FC,6 - 1,Portland Timbers 2,FT,USL Championship
2021-11-06,Phoenix Rising FC,3 - 3 - Rio Grande Valley FC Toros wins 4-3 on Penalty Kicks,Rio Grande Valley FC Toros,FT-Pens,USL Championship
2021-10-30,Phoenix Rising FC,1 - 1,Tacoma Defiance,FT,USL Championship
2021-10-23,Phoenix Rising FC,1 - 1,Sacramento Republic FC,FT,USL Championship
2021-10-16,Las Vegas Lights FC,3 - 6,Phoenix Rising FC,FT,USL Championship
2021-10-13,Orange County SC,1 - 0,Phoenix Rising FC,FT,USL Championship
2021-10-09,Phoenix Rising FC,1 - 0,Oakland Roots,FT,USL Championship
2021-10-02,Orange County SC,0 - 1,Phoenix Rising FC,FT,USL Championship
2021-09-29,LA Galaxy II,3 - 0,Phoenix Rising FC,FT,USL Championship
2021-09-25,Tacoma Defiance,1 - 2,Phoenix Rising FC,FT,USL Championship
2021-09-18,Phoenix Rising FC,2 - 1,Orange County SC,FT,USL Championship
2021-09-15,Phoenix Rising FC,4 - 1,Las Vegas Lights FC,FT,USL Championship
2021-09-11,LA Galaxy II,3 - 4,Phoenix Rising FC,FT,USL Championship
2021-09-05,Tacoma Defiance,1 - 3,Phoenix Rising FC,FT,USL Championship
2021-08-28,Phoenix Rising FC,3 - 2,New Mexico United,FT,USL Championship
2021-08-25,Oakland Roots,3 - 1,Phoenix Rising FC,FT,USL Championship
2021-08-21,Phoenix Rising FC,0 - 0,Sacramento Republic FC,FT,USL Championship
2021-08-14,Phoenix Rising FC,1 - 1,Orange County SC,FT,USL Championship
2021-08-07,Las Vegas Lights FC,2 - 2,Phoenix Rising FC,FT,USL Championship
2021-08-04,Oakland Roots,0 - 1,Phoenix Rising FC,FT,USL Championship
2021-07-31,Phoenix Rising FC,3 - 1,Rio Grande Valley FC Toros,FT,USL Championship
2021-07-24,San Diego Loyal SC,0 - 1,Phoenix Rising FC,FT,USL Championship
2021-07-17,Phoenix Rising FC,5 - 0,LA Galaxy II,FT,USL Championship
2021-07-10,Charlotte Independence,1 - 1,Phoenix Rising FC,FT,USL Championship
2021-07-03,Phoenix Rising FC,3 - 0,LA Galaxy II,FT,USL Championship
2021-06-26,Sacramento Republic FC,1 - 2,Phoenix Rising FC,FT,USL Championship
2021-06-19,San Diego Loyal SC,2 - 1,Phoenix Rising FC,FT,USL Championship
2021-06-12,Phoenix Rising FC,3 - 0,Tacoma Defiance,FT,USL Championship
2021-06-05,Phoenix Rising FC,2 - 2,San Diego Loyal SC,FT,USL Championship
2021-05-29,Sacramento Republic FC,0 - 1,Phoenix Rising FC,FT,USL Championship
2021-05-22,Phoenix Rising FC,5 - 1,Las Vegas Lights FC,FT,USL Championship
2021-05-15,Tampa Bay Rowdies,2 - 1,Phoenix Rising FC,FT,USL Championship
2021-05-08,Phoenix Rising FC,3 - 0,Oakland Roots,FT,USL Championship
2021-04-30,Phoenix Rising FC,4 - 1,San Diego Loyal SC,FT,USL Championship
2022-05-28,Hartford Athletic,1 - 2,Phoenix Rising FC,FT,USL Championship
2022-05-24,New Mexico United,7 - 0,Phoenix Rising FC,FT,USL Championship
2022-05-15,Phoenix Rising FC,1 - 5,Tampa Bay Rowdies,FT,USL Championship
2022-05-11,Sacramento Republic FC,2 - 0,Phoenix Rising FC,FT,United States Open Cup
2022-05-07,Phoenix Rising FC,3 - 0,San Antonio FC,FT,USL Championship
2022-05-01,LA Galaxy II,3 - 0,Phoenix Rising FC,FT,USL Championship
2022-04-23,Phoenix Rising FC,2 - 1,Miami FC,FT,USL Championship
2022-04-20,Phoenix Rising FC,2 - 1,New Mexico United,FT,United States Open Cup
2022-04-16,Phoenix Rising FC,1 - 0,New Mexico United,FT,USL Championship
2022-04-09,Phoenix Rising FC,3 - 1,LA Galaxy II,FT,USL Championship
2022-04-06,Phoenix Rising FC,1 - 0,Valley United FC,AET,United States Open Cup
2022-04-02,San Antonio FC,0 - 2,Phoenix Rising FC,FT,USL Championship
2022-03-26,Phoenix Rising FC,2 - 3,San Diego Loyal SC,FT,USL Championship
2022-03-19,Las Vegas Lights FC,2 - 1,Phoenix Rising FC,FT,USL Championship
2022-03-12,Phoenix Rising FC,4 - 2,Monterey Bay,FT,USL Championship
2019-11-01,Phoenix Rising FC,1 - 2,Real Monarchs SLC,FT,USL Championship
2019-10-26,Phoenix Rising FC,0 - 0 - Phoenix Rising FC wins 8-7 on Penalty Kicks,Austin Bold FC,FT-Pens,USL Championship
2019-10-18,Phoenix Rising FC,3 - 1,Oklahoma City Energy FC,FT,USL Championship
2019-10-12,Phoenix Rising FC,1 - 2,Real Monarchs SLC,FT,USL Championship
2019-10-05,Portland Timbers 2,3 - 5,Phoenix Rising FC,FT,USL Championship
2019-09-28,New Mexico United,2 - 2,Phoenix Rising FC,FT,USL Championship
2019-09-21,Fresno FC,2 - 1,Phoenix Rising FC,FT,USL Championship
2019-09-11,Las Vegas Lights FC,0 - 1,Phoenix Rising FC,FT,USL Championship
2019-09-07,Phoenix Rising FC,1 - 0,San Antonio FC,FT,USL Championship
2019-08-31,Colorado Springs Switchbacks FC,0 - 3,Phoenix Rising FC,FT,USL Championship
2019-08-27,Tacoma Defiance,2 - 4,Phoenix Rising FC,FT,USL Championship
2019-08-23,Phoenix Rising FC,2 - 1,Sacramento Republic FC,FT,USL Championship
2019-08-16,Phoenix Rising FC,4 - 2,Reno 1868 FC,FT,USL Championship
2019-08-10,Phoenix Rising FC,2 - 1,El Paso Locomotive FC,FT,USL Championship
2019-08-03,LA Galaxy II,2 - 3,Phoenix Rising FC,FT,USL Championship
2019-07-27,FC Tulsa,0 - 1,Phoenix Rising FC,FT,USL Championship
2019-07-19,Phoenix Rising FC,6 - 0,Austin Bold FC,FT,USL Championship
2019-07-13,Rio Grande Valley FC Toros,0 - 1,Phoenix Rising FC,FT,USL Championship
2019-06-29,Phoenix Rising FC,4 - 2,Portland Timbers 2,FT,USL Championship
2019-06-22,Oklahoma City Energy FC,1 - 4,Phoenix Rising FC,FT,USL Championship
2019-06-18,Reno 1868 FC,0 - 3,Phoenix Rising FC,FT,USL Championship
2019-06-15,Phoenix Rising FC,3 - 0,Orange County SC,FT,USL Championship
2019-06-07,Phoenix Rising FC,5 - 0,FC Tulsa,FT,USL Championship
2019-05-25,Real Monarchs SLC,2 - 4,Phoenix Rising FC,FT,USL Championship
2019-05-18,Phoenix Rising FC,4 - 0,Las Vegas Lights FC,FT,USL Championship
2019-05-15,Phoenix Rising FC,2 - 2 - New Mexico United wins 4-3 on Penalty Kicks,New Mexico United,FT-Pens,United States Open Cup
2019-05-10,Phoenix Rising FC,3 - 1,Rio Grande Valley FC Toros,FT,USL Championship
2019-05-04,Orange County SC,2 - 1,Phoenix Rising FC,FT,USL Championship
2019-04-27,Sacramento Republic FC,0 - 0,Phoenix Rising FC,FT,USL Championship
2019-04-20,Phoenix Rising FC,4 - 0,Tacoma Defiance,FT,USL Championship
2019-04-17,Austin Bold FC,1 - 0,Phoenix Rising FC,FT,USL Championship
2019-04-13,El Paso Locomotive FC,0 - 2,Phoenix Rising FC,FT,USL Championship
2019-04-06,Phoenix Rising FC,0 - 0,Fresno FC,FT,USL Championship
2019-03-30,Phoenix Rising FC,2 - 2,Colorado Springs Switchbacks FC,FT,USL Championship
2019-03-16,Phoenix Rising FC,3 - 3,New Mexico United,FT,USL Championship
2019-03-09,San Antonio FC,3 - 3,Phoenix Rising FC,FT,USL Championship